Wayfair Remittance #: 6431028
For Supplier: (US)SuZhouLiShunWangLuoKeJiYouXianGongSi
Date: 02/22/2023

Wayfair
100 Huntington Avenue
4 Copley Place, Suite 7000
Boston, MA 02116If you require any support or have any questions regarding this payment remittance please open an Accounting Ticket at https://partners.wayfair.com/v/submit_ticket/index
Total (USD): ,1285.35
To be sent via EFT

Invoice #,PO #,Invoice Date,Product Amount,Wayfair Allowance for Damages/ Defects (4%),Shipping,Other,Tax/VAT,Payment Amount,Business,Order Type
CA440949333,CA440949333,"12/28/2022",60.05,-2.4,0,0,0,57.65,Wayfair,Drop-ship
CS440441406,CS440441406,"12/28/2022",39.77,-1.59,0,0,0,38.18,Wayfair,Drop-ship
CS440533069,CS440533069,"12/27/2022",103.19,-4.13,0,0,0,99.06,Wayfair,Drop-ship
CS440654955,CS440654955,"12/27/2022",103.19,-4.13,0,0,0,99.06,Wayfair,Drop-ship
CS440703536,CS440703536,"12/28/2022",160.79,-6.43,0,0,0,154.36,Wayfair,Drop-ship
CS440716993,CS440716993,"12/28/2022",39.77,-1.59,0,0,0,38.18,Wayfair,Drop-ship
CS440905447,CS440905447,"12/28/2022",160.79,-6.43,0,0,0,154.36,Wayfair,Drop-ship
CS440962185,CS440962185,"12/28/2022",160.79,-6.44,0,0,0,154.35,Wayfair,Drop-ship
CS441034116,CS441034116,"12/28/2022",33.74,-1.35,0,0,0,32.39,Wayfair,Drop-ship
CS441088470,CS441088470,"12/29/2022",160.79,-6.43,0,0,0,154.36,Wayfair,Drop-ship
CS441175192,CS441175192,"12/29/2022",160.79,-6.43,0,0,0,154.36,Wayfair,Drop-ship
CS441274900,CS441274900,"12/29/2022",58.49,-2.34,0,0,0,56.15,Wayfair,Drop-ship
CS441286098,CS441286098,"12/29/2022",67.07,-2.68,0,0,0,64.39,Wayfair,Drop-ship
CS441310871,CS441310871,"12/29/2022",29.69,-1.19,0,0,0,28.5,Wayfair,Drop-ship

,,Sub-total:,1338.91,-53.56,0,0,0,1285.35

,,,,,,,Total (USD): ,1285.35

"Please Note Any deduction/invoice disputes need to be brought to our attention within 60 days of payment date. After 60 days, the dispute is not valid and will be closed."
"Visit our extranet page for more information about your account terms, contacts, allowances and dispute statuses."
